0,1,2,3,4,5,6
104.1,103.0,6.8949575,96.643234,352.34933,281.7346,92.4
104.0,103.0,109.8487,20.591106,90.020424,51.627377,61.2
105.3,104.9,57.277935,146.07857,245.04926,265.5475,64.3
105.1,104.6,6.8949575,96.643234,352.34933,281.7346,92.3
103.0,103.3,109.8487,20.591106,90.020424,51.627377,63.2
102.2,102.5,160.26392,65.765686,96.278755,94.10327,55.1
104.4,103.6,167.28024,85.60289,77.093216,54.107407,48.8
105.2,105.1,57.277935,146.07857,245.04926,265.5475,62.9
104.8,104.5,160.26392,65.765686,96.278755,94.10327,49.9
105.2,105.5,160.26392,65.765686,96.278755,94.10327,56.1
104.9,105.0,167.28024,85.60289,77.093216,54.107407,49.9
103.1,103.2,51.552353,144.04845,298.0679,284.91574,66.8
103.5,103.7,51.552353,144.04845,298.0679,284.91574,70.3
104.4,103.6,109.8487,20.591106,90.020424,51.627377,58.3
104.7,104.3,167.28024,85.60289,77.093216,54.107407,50.9
104.6,103.7,51.552353,144.04845,298.0679,284.91574,70.5
104.6,103.8,51.552353,144.04845,298.0679,284.91574,63.7
105.2,105.1,51.552353,144.04845,298.0679,284.91574,66.3
103.4,103.5,51.552353,144.04845,298.0679,284.91574,66.7
105.0,105.0,109.8487,20.591106,90.020424,51.627377,61.5
104.4,104.1,160.26392,65.765686,96.278755,94.10327,49.8
104.0,104.3,167.28024,85.60289,77.093216,54.107407,57.3
105.2,105.1,57.277935,146.07857,245.04926,265.5475,62.8
104.9,104.4,51.552353,144.04845,298.0679,284.91574,64.3
101.1,101.4,6.8949575,96.643234,352.34933,281.7346,90.6
105.0,104.7,109.8487,20.591106,90.020424,51.627377,59.8
105.5,105.7,167.28024,85.60289,77.093216,54.107407,54.8
102.2,102.5,109.8487,20.591106,90.020424,51.627377,63.2
104.8,103.8,109.8487,20.591106,90.020424,51.627377,57.2
105.0,104.2,160.26392,65.765686,96.278755,94.10327,48.7
104.8,104.8,6.8949575,96.643234,352.34933,281.7346,93.1
104.7,104.4,6.8949575,96.643234,352.34933,281.7346,93.5
103.4,103.3,57.277935,146.07857,245.04926,265.5475,66.4
104.8,104.8,51.552353,144.04845,298.0679,284.91574,64.0
104.8,104.1,6.8949575,96.643234,352.34933,281.7346,90.0
103.0,103.1,6.8949575,96.643234,352.34933,281.7346,94.0
101.8,102.3,57.277935,146.07857,245.04926,265.5475,66.6
104.4,104.4,51.552353,144.04845,298.0679,284.91574,66.4
104.9,104.8,57.277935,146.07857,245.04926,265.5475,62.2
104.9,104.4,167.28024,85.60289,77.093216,54.107407,48.3
104.5,104.3,6.8949575,96.643234,352.34933,281.7346,93.3
104.4,104.9,6.8949575,96.643234,352.34933,281.7346,95.2
104.9,104.4,6.8949575,96.643234,352.34933,281.7346,90.9
102.8,102.6,6.8949575,96.643234,352.34933,281.7346,95.1
104.9,104.4,109.8487,20.591106,90.020424,51.627377,61.5
103.5,103.6,160.26392,65.765686,96.278755,94.10327,53.8
102.0,102.4,6.8949575,96.643234,352.34933,281.7346,96.1
105.0,104.7,6.8949575,96.643234,352.34933,281.7346,93.9
102.3,102.6,160.26392,65.765686,96.278755,94.10327,57.8
104.1,104.2,57.277935,146.07857,245.04926,265.5475,62.8
105.4,105.4,6.8949575,96.643234,352.34933,281.7346,95.9
103.0,103.1,167.28024,85.60289,77.093216,54.107407,52.5
104.9,104.7,6.8949575,96.643234,352.34933,281.7346,94.0
104.6,103.9,51.552353,144.04845,298.0679,284.91574,64.6
105.3,104.9,51.552353,144.04845,298.0679,284.91574,61.3
104.8,104.4,6.8949575,96.643234,352.34933,281.7346,93.7
104.7,104.8,167.28024,85.60289,77.093216,54.107407,51.6
104.0,104.0,167.28024,85.60289,77.093216,54.107407,51.5
104.3,104.3,109.8487,20.591106,90.020424,51.627377,64.7
102.0,102.4,109.8487,20.591106,90.020424,51.627377,68.0
104.3,104.4,160.26392,65.765686,96.278755,94.10327,51.3
104.7,104.5,167.28024,85.60289,77.093216,54.107407,48.6
104.0,103.0,57.277935,146.07857,245.04926,265.5475,60.6
104.2,104.2,6.8949575,96.643234,352.34933,281.7346,95.7
103.5,103.7,160.26392,65.765686,96.278755,94.10327,54.0
103.7,103.7,167.28024,85.60289,77.093216,54.107407,53.9
104.3,104.3,51.552353,144.04845,298.0679,284.91574,69.0
104.2,104.2,51.552353,144.04845,298.0679,284.91574,66.6
103.5,103.6,109.8487,20.591106,90.020424,51.627377,67.4
104.5,104.3,160.26392,65.765686,96.278755,94.10327,52.6
104.4,104.4,109.8487,20.591106,90.020424,51.627377,60.6
105.4,105.4,160.26392,65.765686,96.278755,94.10327,52.3
104.9,104.8,167.28024,85.60289,77.093216,54.107407,50.1
104.4,104.2,167.28024,85.60289,77.093216,54.107407,51.6
104.7,104.5,51.552353,144.04845,298.0679,284.91574,65.4
105.5,105.4,160.26392,65.765686,96.278755,94.10327,52.0
104.8,103.8,57.277935,146.07857,245.04926,265.5475,59.7
104.2,104.1,51.552353,144.04845,298.0679,284.91574,66.4
104.7,104.6,51.552353,144.04845,298.0679,284.91574,64.9
